,2020,2021,2022,2023
TECHM.NS,40330000000.0,44280000000.0,55661000000.0,48313000000.0
MPHASIS.NS,11848370000.0,12168050000.0,14308890000.0,16379220000.0
COFORGE.NS,4440000000.0,4556000000.0,6617000000.0,6938000000.0
LTTS.NS,8186000000.0,6633000000.0,9570000000.0,12211000000.0
LTIM.NS,15201000000.0,19361000000.0,22968000000.0,44275000000.0
TCS.NS,323400000000.0,324300000000.0,383270000000.0,446540000000.0
WIPRO.NS,97218000000.0,107946000000.0,122191000000.0,113500000000.0
INFY.NS,2331000000.0,2613000000.0,2963000000.0,2981000000.0
HCLTECH.NS,1466056748.872978,1517445517.647027,1780206070.820525,154450000000.0
PERSISTENT.NS,3402890000.0,4506770000.0,6903860000.0,9815030000.0
