,2020,2021,2022,2023
ASHOKLEY.NS,3366700000.0,-1652300000.0,-3586100000.0,12408100000.0
TIINDIA.NS,3063400000.0,2863200000.0,7691800000.0,7889400000.0
BHARATFORG.NS,3498320000.0,-1263810000.0,10817560000.0,6686270000.0
TATAMOTORS.NS,-113940300000.0,-142700900000.0,-113699300000.0,152140700000.0
MRF.NS,14225600000.0,12770600000.0,6692400000.0,16909100000.0
BOSCHLTD.NS,5845000000.0,4820000000.0,12183000000.0,21269000000.0
EICHERMOT.NS,18274400000.0,13468900000.0,16766000000.0,29139400000.0
SONACOMS.NS,2217220000.0,2151650000.0,3615430000.0,4627920000.0
MARUTI.NS,56760000000.0,43891000000.0,38795000000.0,82110000000.0
BALKRISIND.NS,9596500000.0,11775300000.0,14353800000.0,10475000000.0
BAJAJ-AUTO.NS,52119100000.0,48570200000.0,61658700000.0,60602100000.0
TVSMOTOR.NS,6246200000.0,5942600000.0,7568200000.0,13286700000.0
MOTHERSON.NS,11701000000.0,7125000000.0,5096000000.0,14955900000.0
M&M.NS,1270400000.0,40020200000.0,65773200000.0,102815000000.0
HEROMOTOCO.NS,36381100000.0,29177500000.0,23168800000.0,32475600000.0
