,2020,2021,2022,2023
FEDERALBNK.NS,15801960000.0,16643338000.0,19697853000.0,36713800000.0
AUBANK.NS,6747845000.0,11706846000.0,11298342000.0,16061915000.0
BANKBARODA.NS,9277510000.0,15476657000.0,78496924000.0,184072430000.0
IDFCFIRSTB.NS,-28433904000.0,4831792000.0,1323070000.0,29110894000.0
AXISBANK.NS,18531139000.0,71954962000.0,141192900000.0,131179000000.0
HDFCBANK.NS,262573200000.0,318332100000.0,386000400000.0,495446900000.0
PNB.NS,4384500000.0,25619702000.0,38607400000.0,59048400000.0
BANDHANBNK.NS,30237375528.0,22054568918.0,1257940000.0,21946380000.0
ICICIBANK.NS,95663100000.0,183843200000.0,251101000000.0,340366400000.0
SBIN.NS,197678022000.0,224054576000.0,353738798000.0,682074428000.0
KOTAKBANK.NS,85933610000.0,99902039000.0,120893915000.0,171726696000.0
INDUSINDBK.NS,44581806000.0,29300961000.0,48050380000.0,83337378000.0
