,2020,2021,2022,2023
NATCOPHARM.NS,4608000000.0,4409000000.0,1700000000.0,7153000000.0
AUROPHARMA.NS,28309700000.0,53348400000.0,26481500000.0,23254400000.0
ZYDUSLIFE.NS,11766000000.0,21336000000.0,22416000000.0,19649000000.0
GLAXO.NS,932046000.0,3581473000.0,3807689000.0,6477522000.0
GLAND.NS,7728580000.0,9969630000.0,12116640000.0,7459760000.0
ALKEM.NS,11270700000.0,15850200000.0,16456200000.0,14329400000.0
BIOCON.NS,7482000000.0,7502000000.0,6484000000.0,4984000000.0
IPCALAB.NS,6063200000.0,11400100000.0,8840800000.0,4922400000.0
TORNTPHARM.NS,10247200000.0,12518800000.0,7771800000.0,13432300000.0
SUNPHARMA.NS,37649300000.0,29038200000.0,32727300000.0,85485300000.0
CIPLA.NS,15465200000.0,24048700000.0,25167500000.0,34532200000.0
LAURUSLABS.NS,2552730000.0,9835800000.0,8275200000.0,3678200000.0
SANOFI.NS,4776000000.0,9444000000.0,6206000000.0,5961000000.0
PFIZER.NS,5091300000.0,4976100000.0,6125600000.0,6239300000.0
DIVISLAB.NS,13765400000.0,19842900000.0,29604500000.0,18233800000.0
DRREDDY.NS,19498000000.0,19149000000.0,23568000000.0,45073000000.0
ABBOTINDIA.NS,5929326000.0,6906900000.0,7987000000.0,9494100000.0
GRANULES.NS,3353983000.0,5494590000.0,4127579000.0,3939450000.0
GLENMARK.NS,7759700000.0,9700880000.0,9417110000.0,2972450000.0
LUPIN.NS,-3994900000.0,12165300000.0,-15280400000.0,4300800000.0
