,2020,2021,2022,2023
YESBANK.NS,-164325804000.0,-34889279000.0,10640534000.0,7358200000.0
HINDPETRO.NS,26387300000.0,106628900000.0,72942300000.0,166450400000.0
POONAWALLA.NS,270534000.0,-5589644000.0,3751161000.0,5687600000.0
APOLLOTYRE.NS,4763950000.0,3502130000.0,6386000000.0,16190370000.0
ALKEM.NS,11270700000.0,15850200000.0,16456200000.0,14329400000.0
PRESTIGE.NS,4031000000.0,14562000000.0,11500000000.0,9418000000.0
IPCALAB.NS,6063200000.0,11400100000.0,8840800000.0,4922400000.0
KPITTECH.NS,1465900000.0,1461370000.0,2742330000.0,4869420000.0
CUMMINSIND.NS,7056100000.0,6350300000.0,9337400000.0,12281500000.0
FACT.NS,9755245000.0,3519807000.0,3532826000.0,6129900000.0
RVNL.NS,7533227000.0,9224100000.0,11826900000.0,14791700000.0
AUROPHARMA.NS,28309700000.0,53348400000.0,26481500000.0,23254400000.0
JSL.NS,713200000.0,4192300000.0,18812600000.0,27834500000.0
IRFC.NS,31920960000.0,44161310000.0,60898360000.0,60675990000.0
UNOMINDA.NS,1549500000.0,2066300000.0,3558000000.0,6535500000.0
ASHOKLEY.NS,3366700000.0,-1652300000.0,-3586100000.0,12408100000.0
GRINDWELL.NS,1825216000.0,2391826000.0,2956454000.0,3619100000.0
APLAPOLLO.NS,2379700000.0,3601600000.0,5572900000.0,7674900000.0
MANKIND.NS,10561480000.0,12930340000.0,11864950000.0,
OFSS.NS,14622170000.0,17618550000.0,18888260000.0,18350600000.0
ADANIPOWER.NS,-22747700000.0,12699800000.0,49115800000.0,206048400000.0
METROBRAND.NS,1558820000.0,687970000.0,2115908000.0,3399625000.0
MFSL.NS,1449937000.0,4253940000.0,2533700000.0,5064000000.0
MANYAVAR.NS,2366370000.0,1329030000.0,3149110000.0,3998850000.0
THERMAX.NS,2124500000.0,2065800000.0,3123100000.0,4502900000.0
FLUOROCHEM.NS,1963281000.0,-2187090000.0,7871898000.0,9152100000.0
NHPC.NS,31151100000.0,30396500000.0,47336600000.0,39368600000.0
ABBOTINDIA.NS,5929326000.0,6906900000.0,7987000000.0,9494100000.0
DIXON.NS,1205001000.0,1597912000.0,1901700000.0,2786400000.0
JKCEMENT.NS,4964211000.0,7097186000.0,6871193000.0,4440234000.0
DEEPAKNTR.NS,6110300000.0,7758100000.0,10666400000.0,8520000000.0
PAYTM.NS,-28422000000.0,-16961000000.0,-23929000000.0,-12079000000.0
GLAXO.NS,932046000.0,3581473000.0,3807689000.0,6477522000.0
TIMKEN.NS,2460990000.0,1431790000.0,3271050000.0,3582670000.0
WHIRLPOOL.NS,4901900000.0,3518300000.0,5663700000.0,2190200000.0
PAGEIND.NS,3432230000.0,3405810000.0,5365310000.0,5107235000.0
POLICYBZR.NS,-3040290000.0,-1502420000.0,-8329130000.0,-1286258000.0
HINDZINC.NS,68050000000.0,79800000000.0,96290000000.0,105110000000.0
KANSAINER.NS,5210100000.0,5297400000.0,3588600000.0,11188400000.0
PHOENIXLTD.NS,3347311000.0,526078000.0,2373546000.0,13349609000.0
BLUEDART.NS,-418600000.0,1018100000.0,3822100000.0,3705300000.0
BAYERCROP.NS,4745000000.0,4931000000.0,6453000000.0,8444000000.0
SYNGENE.NS,4121000000.0,4049000000.0,3958000000.0,4644000000.0
ATUL.NS,6664600000.0,6557600000.0,6042600000.0,3923300000.0
LUPIN.NS,-3994900000.0,12165300000.0,-15280400000.0,4300800000.0
DALBHARAT.NS,2240000000.0,12310000000.0,11360000000.0,10390000000.0
BALKRISIND.NS,9596500000.0,11775300000.0,14353800000.0,10475000000.0
GMRINFRA.NS,-24256800000.0,-27972500000.0,-6442100000.0,-1792600000.0
TIINDIA.NS,3063400000.0,2863200000.0,7691800000.0,7889400000.0
SOLARINDS.NS,2674300000.0,2763500000.0,4412800000.0,7571900000.0
MRF.NS,14225600000.0,12770600000.0,6692400000.0,16909100000.0
PFIZER.NS,5091300000.0,4976100000.0,6125600000.0,6239300000.0
M&MFIN.NS,10751453000.0,7732100000.0,11368700000.0,20724000000.0
NIACL.NS,14312038000.0,16230071000.0,1740559000.0,9611045000.0
ASTRAL.NS,2479000000.0,4044000000.0,4838000000.0,5422000000.0
SKFINDIA.NS,2889900000.0,2976900000.0,3949600000.0,4843300000.0
PATANJALI.NS,76720227000.0,6807718000.0,8063089000.0,8864411000.0
BATAINDIA.NS,3289530000.0,-893110000.0,1029930000.0,2896970000.0
GICRE.NS,-1864566000.0,19915882000.0,23862785000.0,69073100000.0
GODREJIND.NS,3785100000.0,3333000000.0,6537300000.0,8800200000.0
OBEROIRLTY.NS,6893302000.0,7392918000.0,10470983000.0,19612671000.0
PERSISTENT.NS,3402890000.0,4506770000.0,6903860000.0,9815030000.0
AUBANK.NS,6747845000.0,11706846000.0,11298342000.0,16061915000.0
HONAUT.NS,4914800000.0,4600400000.0,3391300000.0,4394800000.0
AIAENG.NS,5903580000.0,5661219000.0,6196809000.0,11378004000.0
SAIL.NS,21207100000.0,41481300000.0,122434700000.0,21765300000.0
VOLTAS.NS,5171800000.0,5251400000.0,5040900000.0,1350100000.0
TATAELXSI.NS,2561001000.0,3681219000.0,5496715000.0,7850658000.0
