,2020,2021,2022,2023
ZYDUSLIFE.NS,11766000000.0,21336000000.0,22416000000.0,19649000000.0
NAUKRI.NS,-2376230000.0,14070810000.0,127595710000.0,-1074100000.0
ZOMATO.NS,-23671580000.0,-8128160000.0,-12087000000.0,-9713000000.0
BERGEPAINT.NS,6578100000.0,7197500000.0,8328200000.0,8594200000.0
SIEMENS.NS,7695000000.0,10500000000.0,12618000000.0,17719000000.0
TVSMOTOR.NS,6246200000.0,5942600000.0,7568200000.0,13286700000.0
DMART.NS,13010800000.0,10994900000.0,14925500000.0,23321200000.0
TATAPOWER.NS,14276100000.0,11735800000.0,22092900000.0,35707700000.0
VBL.NS,3289950000.0,6940520000.0,14974330000.0,19987010000.0
PIIND.NS,4566000000.0,7383000000.0,8438000000.0,12295000000.0
ABB.NS,2304400000.0,5324900000.0,10256100000.0,12088900000.0
BEL.NS,18238500000.0,20989400000.0,23988700000.0,33228600000.0
MCDOWELL-N.NS,6589000000.0,3836000000.0,8286000000.0,11330000000.0
TORNTPHARM.NS,10247200000.0,12518800000.0,7771800000.0,13432300000.0
ADANIGREEN.NS,-232325000.0,2100000000.0,4890000000.0,13050000000.0
PIDILITIND.NS,11164200000.0,11312100000.0,12075600000.0,15055100000.0
HAL.NS,28731700000.0,32394600000.0,50800400000.0,60373100000.0
MOTHERSON.NS,11701000000.0,7125000000.0,5096000000.0,14955900000.0
TRENT.NS,1227800000.0,-1461700000.0,1058300000.0,4446900000.0
BAJAJHLDNG.NS,29920000000.0,36498300000.0,40556800000.0,48505200000.0
COLPAL.NS,8164660000.0,10353854000.0,10783187000.0,11731865000.0
BANKBARODA.NS,9277510000.0,15476657000.0,78496924000.0,184072430000.0
LICI.NS,31708540000.0,41321210000.0,41247082000.0,372047771000.0
PGHH.NS,4330800000.0,6517900000.0,5757500000.0,7344200000.0
SRF.NS,9159000000.0,11982500000.0,18889200000.0,17334200000.0
DABUR.NS,14449600000.0,16933000000.0,17392200000.0,17071500000.0
AWL.NS,4608720000.0,7276490000.0,8037300000.0,5821200000.0
AMBUJACEM.NS,23654400000.0,27803800000.0,17947000000.0,
DLF.NS,-5831983000.0,10936024000.0,15008546000.0,20358252000.0
HAVELLS.NS,7356100000.0,10443100000.0,11964700000.0,10717300000.0
VEDL.NS,-66640000000.0,116020000000.0,188020000000.0,52020000000.0
CHOLAFIN.NS,10537200000.0,15208600000.0,21535100000.0,26648500000.0
JINDALSTEL.NS,-1091700000.0,55269300000.0,82483100000.0,23930600000.0
SHRIRAMFIN.NS,25122700000.0,24988300000.0,27211000000.0,60200300000.0
ATGL.NS,4363200000.0,4628200000.0,5094000000.0,5710000000.0
GODREJCP.NS,14965800000.0,17208200000.0,17833900000.0,17500700000.0
INDIGO.NS,-2336780000.0,-58064270000.0,-61618450000.0,56213360000.0
MARICO.NS,10210000000.0,11720000000.0,12250000000.0,14100000000.0
IRCTC.NS,5285713000.0,1899012000.0,6636891000.0,10612212000.0
SBICARD.NS,12448153000.0,9845200000.0,16161400000.0,23023000000.0
PNB.NS,4384500000.0,25619702000.0,38607400000.0,59048400000.0
IOC.NS,-8931400000.0,216382100000.0,251022300000.0,386143100000.0
SADANIENT.NS,,,,
BOSCHLTD.NS,5845000000.0,4820000000.0,12183000000.0,21269000000.0
GAIL.NS,94220500000.0,61363500000.0,122560700000.0,52838400000.0
CANBK.NS,-19864316000.0,28906049000.0,61248217000.0,139060257000.0
HINDMOTORS.NS,-8250000.0,37635000.0,186527000.0,500000.0
ICICIPRULI.NS,10669794000.0,9561554000.0,7592020000.0,9068940000.0
SHREECEM.NS,15358500000.0,22858700000.0,23319400000.0,18267700000.0
