,company,2021,2022,2023
0,ASHOKLEY.NS,-149.07773190364452,117.03685771349028,-446.0054097766376
1,TIINDIA.NS,-6.535222302017367,168.64347583123777,2.568969551990431
2,BHARATFORG.NS,-136.12619771776167,-955.9482833653792,-38.19059011459146
3,TATAMOTORS.NS,25.24181523130973,-20.323347645319686,-233.80970683196819
4,MRF.NS,-10.228039590597234,-47.59525785789235,152.66122766122768
5,BOSCHLTD.NS,-17.53635585970915,152.75933609958506,74.57933185586472
6,EICHERMOT.NS,-26.296348990938146,24.479356146381665,73.80054872957176
7,SONACOMS.NS,-2.9573068978270087,68.03058118188368,28.004691004942707
8,MARUTI.NS,-22.67265680056378,-11.610580756874986,111.65098595179792
9,BALKRISIND.NS,22.704110873756058,21.897531273088582,-27.022809290919476
10,BAJAJ-AUTO.NS,-6.809211977950502,26.947593380303147,-1.7136267874606501
11,TVSMOTOR.NS,-4.860555217572284,27.35502978494262,75.55957823524749
12,MOTHERSON.NS,-39.10776856678916,-28.47719298245614,193.4831240188383
13,M&M.NS,3050.204659949622,64.35000324835957,56.31746668856008
14,HEROMOTOCO.NS,-19.800390862288385,-20.5936080884243,40.16953834467042
